geography,locationAbbr,medianAge,sexRatio,premiseType,dayWeek,childDependencyRatio,medianIncome,hourDay,assault,autoTheft,breakAndEnter,robbery,theftOver,totalMCI
" ""Beaches-East York""",BEY,36,98.6,57.3,20.2,37.1,61933,16.4,3649,380,1438,716,168,6351
" ""Davenport""",DAV,38.3,94,57.1,21.6,35.5,73971,10.1,3358,470,1163,646,157,5794
" ""Don Valley East""",DVE,44.1,94.9,60.3,29.2,31.1,49462,14.1,2268,339,819,368,128,3922
" ""Don Valley North""",DVN,36.1,95.6,60.1,21.7,38.4,44555,19.8,2012,509,1048,337,144,4050
" ""Don Valley West""",DVW,38.1,102.1,60.7,25.8,34.9,69592,11.4,1424,363,1355,192,166,3500
" ""Eglinton-Lawrence""",EGL,38.5,97.1,60.8,23.8,37,42958,19.1,2648,1003,1746,650,265,6312
" ""Etobicoke Centre""",ETC,36.2,99,64.6,23.7,41,52504,13.6,1629,944,1241,419,136,4369
" ""Etobicoke North""",ETN,37.4,96.8,62,23.1,38.9,49446,15.2,4300,2523,1230,1269,304,9626
" ""Etobicoke-Lakeshore""",ETL,38.2,98.9,64.3,25.9,38.4,53712,12.2,3792,1049,1503,608,364,7316
" ""Humber River-Black Creek""",HR-BC,38.6,93.9,62,24.9,37,42830,19.3,5387,1505,994,1123,279,9288
" ""Parkdale-High Park""",PHP,37.5,96.4,58.9,22.1,36.8,57444,14.4,3075,459,1216,650,124,5524
" ""Scarborough Centre""",SC,41.6,95.6,65.1,31.5,33.6,47463,16.5,4768,955,1652,1045,227,8647
" ""Scarborough North""",SN,39.6,94.3,61.9,26.6,35.3,59716,12.5,1755,592,1045,460,168,4020
" ""Scarborough Southwest""",SS,36.3,101.1,56.2,19.8,36.4,61303,12,4603,527,1768,824,162,7884
" ""Scarborough-Agincourt""",SA,36.1,95.1,58.8,19.6,39.2,49321,18.3,1782,455,1207,523,125,4092
" ""Scarborough-Guildwood""",SG,33.8,90.3,40.4,15.9,24.5,71648,17.7,4998,450,1129,929,127,7633
" ""Scarborough-Rouge Park""",SR,40.5,95.2,58.7,24.5,34.2,70048,10.8,2436,416,808,448,85,4193
" ""Spadina-Fort York""",SFY,36.7,94.9,63.2,23.3,39.9,39680,21.5,6665,463,2002,695,434,10259
" ""Toronto Centre""",TOC,39.4,94.1,55.5,23.4,32,69160,11.6,8796,550,2596,1959,445,14346
" ""Toronto-Danforth""",TDA,37.8,98.9,60.7,22.9,37.8,61481,11.5,3620,432,1541,725,203,6521
" ""Toronto-St. Paul's""",TOSP,35.9,100,68.8,24.3,44.5,47861,14.8,1839,354,1114,303,143,3753
" ""University-Rosedale""",UNR,37.8,96.5,65.2,25.9,39.3,41262,18.9,6128,518,2413,1153,430,10642
" ""Willowdale""",WI,36.9,98.7,66.7,26.5,40.2,50068,18.2,2484,512,1172,504,179,4851
" ""York Centre""",YC,33.3,109.8,53.5,14.6,38.9,71583,11.2,3138,1154,1376,481,243,6392
" ""York South-Weston""",YSW,39.6,96.4,61,24.9,36.1,49847,16.2,3941,1142,1145,986,170,7384
