occurrencehour,Assault,Auto Theft,Break and Enter,Robbery,Theft Over
0,5783,1181,2321,986,578
1,4125,551,1368,951,116
2,4493,420,1384,827,79
3,2834,307,1497,678,68
4,1717,258,1440,420,58
5,1227,283,1134,251,45
6,1204,329,893,226,59
7,1643,470,1060,157,101
8,2514,518,1658,200,151
9,3055,546,1673,249,290
10,3145,481,1536,365,203
11,3535,417,1467,508,181
12,5132,771,2147,726,592
13,3774,484,1498,608,226
14,3994,550,1498,753,285
15,4946,573,1327,1138,289
16,4594,736,1322,1038,290
17,4646,908,1522,919,334
18,4879,1142,1661,987,322
19,4632,1190,1422,1095,255
20,4786,1357,1251,1216,244
21,4730,1467,1255,1337,219
22,4575,1672,1142,1226,202
23,4532,1453,1245,1152,189
